user_id,playdata_id,updated_at,is_answered,score1,score2,player_id,piecetask_name,player_tag,preparation
67b492caabcc8fb007802d42,675fab3090d7d6419fa48da8,2025-02-19T04:06:39.531838Z,True,1,2.0,675bad5890d7d6419fa4609b,Scale Des-dur,amateur,
67b492caabcc8fb007802d42,675fabf590d7d6419fa49219,2025-02-19T04:06:58.648777Z,True,2,1.0,675bad5890d7d6419fa4609b,Scale b-moll,amateur,
67b492caabcc8fb007802d42,675fac2190d7d6419fa4933e,2025-02-19T04:07:19.775356Z,True,2,2.0,675bad5890d7d6419fa4609b,Scale cis-moll,amateur,
67b492caabcc8fb007802d42,675fae0490d7d6419fa4a7c4,2025-02-19T04:07:34.697356Z,True,2,4.0,675bad5890d7d6419fa4609b,Arpeggio gis-moll,amateur,
67b492caabcc8fb007802d42,675fae6590d7d6419fa4ac71,2025-02-19T04:07:58.891070Z,True,4,4.0,675bad5890d7d6419fa4609b,Arpeggio b-moll,amateur,
67b492caabcc8fb007802d42,6760fee790d7d6419fa5934e,2025-02-19T04:08:09.767288Z,True,4,4.0,675badc790d7d6419fa46282,Scale Es-dur,amateur,
67b492caabcc8fb007802d42,6760ff3390d7d6419fa59509,2025-02-19T04:08:30.095551Z,True,5,5.0,675badc790d7d6419fa46282,Scale es-moll,amateur,
67b492caabcc8fb007802d42,6760ff5190d7d6419fa59603,2025-02-19T04:08:44.261131Z,True,4,5.0,675badc790d7d6419fa46282,Scale B-dur,amateur,
67b492caabcc8fb007802d42,6761011a90d7d6419fa5aa95,2025-02-19T04:08:55.118221Z,True,2,4.0,675badc790d7d6419fa46282,Arpeggio f-moll,amateur,
67b492caabcc8fb007802d42,6761015e90d7d6419fa5adfc,2025-02-19T04:09:19.650023Z,True,3,4.0,675badc790d7d6419fa46282,Arpeggio As-dur,amateur,
67b492caabcc8fb007802d42,677c87ee90d7d6419fb02a8d,2025-02-19T04:09:29.692372Z,True,5,4.0,677bab0490d7d6419fb022d6,Scale Es-dur,pro,
67b492caabcc8fb007802d42,677c889390d7d6419fb02bac,2025-02-19T04:09:47.181766Z,True,5,5.0,677bab0490d7d6419fb022d6,Scale es-moll,pro,
67b492caabcc8fb007802d42,677c88cf90d7d6419fb02c58,2025-02-19T04:09:59.375311Z,True,4,4.0,677bab0490d7d6419fb022d6,Scale B-dur,pro,
67b492caabcc8fb007802d42,677c8a6b90d7d6419fb0340b,2025-02-19T04:10:10.851441Z,True,5,5.0,677bab0490d7d6419fb022d6,Arpeggio f-moll,pro,
67b492caabcc8fb007802d42,677c8ab290d7d6419fb03525,2025-02-19T04:10:21.756282Z,True,5,5.0,677bab0490d7d6419fb022d6,Arpeggio As-dur,pro,
67b492caabcc8fb007802d42,677ca29b90d7d6419fb0a4d8,2025-02-19T04:10:34.051172Z,True,4,4.0,677bab3e90d7d6419fb02302,Scale Des-dur,pro,
67b492caabcc8fb007802d42,677ca30390d7d6419fb0a62f,2025-02-19T04:11:14.841724Z,True,4,4.0,677bab3e90d7d6419fb02302,Scale b-moll,pro,
67b492caabcc8fb007802d42,677ca3b990d7d6419fb0aab7,2025-02-19T04:11:34.959288Z,True,4,4.0,677bab3e90d7d6419fb02302,Scale cis-moll,pro,
67b492caabcc8fb007802d42,677ca52690d7d6419fb0b34d,2025-02-19T04:11:48.426024Z,True,4,4.0,677bab3e90d7d6419fb02302,Arpeggio gis-moll,pro,
67b492caabcc8fb007802d42,677ca59890d7d6419fb0ba39,2025-02-19T04:11:59.765622Z,True,2,4.0,677bab3e90d7d6419fb02302,Arpeggio b-moll,pro,
67b492caabcc8fb007802d42,677dfcae90d7d6419fb3f42d,2025-02-19T04:12:11.646158Z,True,6,5.0,63feb103ed069d3f0bc5a6a6,Scale C-dur,pro,
67b492caabcc8fb007802d42,677dfd0e90d7d6419fb3f500,2025-02-19T04:12:20.644848Z,True,6,6.0,63feb103ed069d3f0bc5a6a6,Scale Ges-dur,pro,
67b492caabcc8fb007802d42,677dfdb290d7d6419fb3f656,2025-02-19T04:12:36.714602Z,True,5,5.0,63feb103ed069d3f0bc5a6a6,Scale fis-moll,pro,
67b492caabcc8fb007802d42,677e002190d7d6419fb40345,2025-02-19T04:12:47.738334Z,True,5,5.0,63feb103ed069d3f0bc5a6a6,Arpeggio F-dur,pro,
